Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Spawn ID,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Egg Groups,Weight,Context,Spawn Archive,Species Archive
63,Abra,psychic,,rare,Any,Any,Any,abra-1,"Hills, Temperate",Magical,,,,,,,natural,human_like,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
63,Abra,psychic,,uncommon,Any,Any,Any,abra-2,Magical,,,,,,,,natural,human_like,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
63,Abra,psychic,,common,CANNOT SEE,Any,Any,abra-3,Overworld,,,,,,,,mansion,human_like,1.8,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,rare,Any,Any,Any,absol-1,Mountain,,,,,,,,natural,field,8.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,uncommon,Any,Any,Any,absol-2,Mountain,,,,,,,,natural,field,4.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,rare,Any,Any,Any,absol-3,Mountain,,,,,,,,natural,field,6.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,common,Any,Any,Any,absol-4,End,,,,,,,,natural,field,4.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,uncommon,Any,Any,Any,aegislash-1,Nether,,,,,,,,"natural, nether_structures",mineral,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,common,Any,Any,Any,aegislash-2,Overworld,,,,,,,,ruins,mineral,0.2,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,uncommon,Any,Any,Any,aegislash-3,Overworld,,,,,,,,stronghold,mineral,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
142,Aerodactyl,rock,flying,ultra-rare,Any,Any,Any,aerodactyl-1,Lush,,,,,,,,natural,flying,10.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
306,Aggron,steel,rock,common,Any,Any,Any,aggron-1,Mountain,Deep Dark,,,,Iron Ore,,,"natural, wild",monster,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
306,Aggron,steel,rock,uncommon,Any,Any,Any,aggron-2,Overworld,Deep Dark,,,,Iron Ore,,,natural,monster,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
190,Aipom,normal,,common,Any,Any,Any,aipom-1,"Jungle, Tropical Land",,,,,,,,"natural, treetop",field,5.4,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,psychic,,rare,Any,Any,Any,alakazam-1,"Hills, Temperate",Magical,,,,,,,natural,human_like,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,psychic,,uncommon,Any,Any,Any,alakazam-2,Magical,,,,,,,,natural,human_like,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,psychic,,common,CANNOT SEE,Any,Any,alakazam-3,Overworld,,,,,,,,mansion,human_like,0.02,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,common,Any,Any,Any,alcremie-1,Overworld,,,,,Cake,,,,"fairy, amorphous",1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,uncommon,Any,Any,Any,alcremie-2,Overworld,,,,,Sugar Cane,,,,"fairy, amorphous",0.2,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,common,CANNOT SEE,Any,Any,alcremie-3,Overworld,,,,,"Light Grey Carpet, Magenta Carpet, White Carpet",,,mansion,"fairy, amorphous",0.2,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
