Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Generation,Labels,Egg Groups,Weight,Context,Spawn ID,Spawn Archive,Species Archive
63,Abra,Psychic,-----,Rare,8 - 15,Night,Any,"Hills, Temperate",Magical,,,,,,,Natural,Gen 1,,Human_Like,9.0,Grounded,abra-1,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation1
63,Abra,Psychic,-----,Uncommon,8 - 15,Night,Any,Magical,,,,,,,,Natural,Gen 1,,Human_Like,9.0,Grounded,abra-2,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation1
63,Abra,Psychic,-----,Common,CANNOT SEE,Any,Any,Overworld,,,,,,,,Mansion,Gen 1,,Human_Like,1.8,Grounded,abra-3,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation1
359,Absol,Dark,-----,Rare,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,8.0,Grounded,absol-1,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation3
359,Absol,Dark,-----,Uncommon,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,4.0,Grounded,absol-2,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation3
359,Absol,Dark,-----,Rare,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,6.0,Grounded,absol-3,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation3
359,Absol,Dark,-----,Common,Any,Any,Any,End,,,,,,,,Natural,Gen 3,,Field,4.0,Grounded,absol-4,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation3
681,Aegislash,Steel,Ghost,Uncommon,Any,Any,Any,Nether,,,,,,,,"Natural, Nether_Structures",Gen 6,,Mineral,1.0,Grounded,aegislash-1,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation6
681,Aegislash,Steel,Ghost,Common,8 - 15,Any,Any,Overworld,,,,,,,,Ruins,Gen 6,,Mineral,0.2,Grounded,aegislash-2,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation6
681,Aegislash,Steel,Ghost,Uncommon,0 - 7,Any,Any,Overworld,,,,,,,,Stronghold,Gen 6,,Mineral,1.0,Grounded,aegislash-3,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation6
142,Aerodactyl,Rock,Flying,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 1,,Flying,10.0,Grounded,aerodactyl-1,./data/extracted\data/cobblemon/spawn_pool_world,./data/extracted\data/cobblemon/species\generation1
