Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Generation,Labels,Egg Groups,Weight,Context,Spawn ID,Spawn Archive,Species Archive
63,Abra,psychic,,rare,Any,night,Any,"Hills, Temperate",Magical,,,,,,,natural,Gen 1,,human_like,9.0,grounded,abra-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
63,Abra,psychic,,uncommon,Any,night,Any,Magical,,,,,,,,natural,Gen 1,,human_like,9.0,grounded,abra-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
63,Abra,psychic,,common,CANNOT SEE,Any,Any,Overworld,,,,,,,,mansion,Gen 1,,human_like,1.8,grounded,abra-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,rare,Any,Any,Any,Mountain,,,,,,,,natural,Gen 3,,field,8.0,grounded,absol-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,uncommon,Any,Any,Any,Mountain,,,,,,,,natural,Gen 3,,field,4.0,grounded,absol-2,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,rare,Any,Any,Any,Mountain,,,,,,,,natural,Gen 3,,field,6.0,grounded,absol-3,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
359,Absol,dark,,common,Any,Any,Any,End,,,,,,,,natural,Gen 3,,field,4.0,grounded,absol-4,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,uncommon,Any,Any,Any,Nether,,,,,,,,"natural, nether_structures",Gen 6,,mineral,1.0,grounded,aegislash-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,common,Any,Any,Any,Overworld,,,,,,,,ruins,Gen 6,,mineral,0.2,grounded,aegislash-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
681,Aegislash,steel,ghost,uncommon,Any,Any,Any,Overworld,,,,,,,,stronghold,Gen 6,,mineral,1.0,grounded,aegislash-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
142,Aerodactyl,rock,flying,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 1,,flying,10.0,grounded,aerodactyl-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
306,Aggron,steel,rock,common,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"natural, wild",Gen 3,,monster,0.1,grounded,aggron-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
306,Aggron,steel,rock,uncommon,Any,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,natural,Gen 3,,monster,0.1,grounded,aggron-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
190,Aipom,normal,,common,Any,Any,Any,"Jungle, Tropical Land",,,,,,,,"natural, treetop",Gen 2,,field,5.4,grounded,aipom-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,psychic,,rare,Any,night,Any,"Hills, Temperate",Magical,,,,,,,natural,Gen 1,,human_like,0.1,grounded,alakazam-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
