Dex Number,Pokemon Name,Primary Type,Secondary Type,Egg Groups,Spawn ID,Biomes,Anti-Biomes,Structures,Anti-Structures,Time,Weather,Moon Phase,Anti-Moon Phase,Presets,Weight,Bucket,Sky,Context,Source File
871,Pincurchin,electric,,"water_1, amorphous",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
559,Scraggy,dark,fighting,"field, dragon",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
989,Sandy Shocks,electric,ground,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
677,Espurr,psychic,,field,espurr-1,End,,,,Any,Any,,,natural,8.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
845,Cramorant,flying,water,"water_1, flying",cramorant-1,Swamp,,,,Any,Any,,,,7.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
638,Cobalion,steel,fighting,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
792,Lunala,psychic,ghost,undiscovered,lunala-1,Spooky,,,,Any,Any,,,,0.2,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
792,Lunala,psychic,ghost,undiscovered,lunala-2,End,,,,Any,Any,,,,0.4,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
295,Exploud,normal,,"monster, field",exploud-1,Deep Dark,,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
295,Exploud,normal,,"monster, field",exploud-2,Overworld,Deep Dark,,,Any,Any,,,natural,0.02,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
309,Electrike,electric,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
223,Remoraid,water,,"water_1, water_2",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
830,Eldegoss,grass,,grass,eldegoss-1,Floral,,,,Any,Clear,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
830,Eldegoss,grass,,grass,eldegoss-2,Floral Meadow,,,Sempiternal Sanctums,Any,Clear,,,,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
474,Porygonz,normal,,mineral,porygonz-1,Overworld,,,,Any,Any,,,,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
142,Aerodactyl,rock,flying,flying,aerodactyl-1,Lush,,,,Any,Any,,,natural,10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
237,Hitmontop,fighting,,human_like,hitmontop-1,Hills,,,,Any,Any,,,natural,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
905,Enamorus,fairy,flying,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
665,Spewpa,bug,,bug,spewpa-1,"Floral, Plains, Savanna",,,,Any,Any,,,"natural, foliage",3.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
665,Spewpa,bug,,bug,spewpa-2,Floral Meadow,,,Sempiternal Sanctums,Any,Any,,,,2.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
369,Relicanth,water,rock,"water_1, water_2",relicanth-1,Deep Ocean,,,,Any,Any,,,underwater,2.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
369,Relicanth,water,rock,"water_1, water_2",relicanth-2,Ocean,,,,Any,Any,,,"underwater, ocean_ruins",20.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
369,Relicanth,water,rock,"water_1, water_2",relicanth-3,Overworld,Ocean,,,Any,Any,,,underwater,10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
323,Camerupt,fire,ground,field,camerupt-1,Badlands,,,,Any,Any,,,natural,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
323,Camerupt,fire,ground,field,camerupt-2,Volcanic,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
323,Camerupt,fire,ground,field,camerupt-3,"Nether/ Overgrowth, Nether/ Wasteland",,,,Any,Any,,,natural,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
351,Castform,normal,,"fairy, amorphous",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
732,Trumbeak,normal,flying,flying,trumbeak-1,"Forest, Jungle, Taiga",,,,Any,Any,,,,4,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
811,Thwackey,grass,,"field, grass",thwackey-1,"Jungle, Tropical Land",,,,Any,Any,,,"natural, treetop",0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
749,Mudbray,ground,,field,mudbray-1,"Badlands, Grassland",,,,Any,Any,,,natural,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper,water,ground,"water_1, field",wooper-1,Lush,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper,water,ground,"water_1, field",wooper-2,Lush,,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
